Name,Global sales
Nicktoons: MLB,0.14782108484442524
Shonen Jump's One Piece: Grand Battle,0.18121762258862528
Learn Math,0.13878982776878068
Nitrobike,0.12800924156286353
Cruise Ship Vacation Games,0.11506608016682485
Pro Yaky? Spirits 6,0.1976265637558008
Paperboy / Rampage,0.1535915000275434
Shiren the Wanderer 4 - God's Eye and the Demon's Navel,0.11090178624098357
Vampire Moon: The Mystery of the Hidden Sun,0.14173366215729022
Sentou Kokka Air Land Battle,0.0978184982552559
Quick Yoga Training,0.1377842337535391
Attack on Titan (KOEI),0.1315487888838387
NTRA Breeders' Cup World Thoroughbred Championships,0.1801499742044319
Hulk Hogan's Main Event,0.09314203315086278
Tak 2: The Staff of Dreams,0.10949275732305885
Destroy All Humans! Big Willy Unleashed,0.12040533693952682
Retro Atari Classics,0.13087856058647152
Imagine: Fashion Designer,0.1166564214227046
Need for Speed Underground 2,0.14939039372673868
My Spanish Coach,0.1573441855728639
Ys: The Ark of Napishtim,0.20920007100026972
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,0.1602560949361198
Dragon Age Origins: Awakening,0.10785515199777329
Azure Dreams,0.11787815544525682
Divinity II: The Dragon Knight Saga,0.13380306168601752
SingStar Latino,0.20706156895329286
Kung Fu Panda 2,0.1350318448322021
NHL 2K8,0.15950025784331778
Pro Baseball Spirits 2015,0.16601326871782351
Haunted House,0.12589605942241722
Top Spin 3,0.13908802558663425
Syberia,0.13316002245909875
Kurt Warner's Arena Football Unleashed,0.11251979596738693
Puzzle Kingdoms,0.14517638377191755
Hyperdimension Neptunia,0.11945652435148446
Life is Strange,0.11651588470826191
Suite PreCure: Melody Collection,0.1382335746272103
NHL 2K9,0.23626614333839946
Shin Megami Tensei: Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon,0.2044677991204562
Rogue Ops,0.14038400655355332
NBA Hoopz,0.11673261657903478
Transworld Surf,0.12313741685288715
History Civil War: Secret Missions,0.08900356881332439
MLB 11: The Show,0.19693382308607355
Castrol Honda Superbike Racing,0.11301363237132289
X-Blades,0.16657313549615527
Teenage Mutant Ninja Turtles: Danger of the Ooze,0.1408598167097379
Army Men: Green Rogue,0.15492707938053574
Chessmaster,0.1181968556234656
Brain Assist,0.1345241649517046
Freddi Fish: ABC under the sea,0.13609511186755707
Adventures to Go!,0.15652609089324976
Monster Rancher DS,0.11347954560355955
Peter Jackson's King Kong: The Official Game of the Movie,0.11741070491796446
Superman: The Man of Steel,0.10655191384827134
Kororinpa: Marble Mania,0.11507458036926455
Ken to Mahou to Gakuen Mono. 3,0.1263776020271763
The Flintstones: Bedrock Bowling,0.11530545710974227
NHL 2003,0.1274230179683169
Chicken Run,0.09758439458966439
Injustice: Gods Among Us,0.10255568534202286
Fatal Inertia,0.09486090480649167
Over the Hedge: Hammy Goes Nuts!,0.12012309793477804
Phantom Brave: We Meet Again,0.11502719910567727
NHL 2K9,0.20105806044279895
